type,location,bedrooms,title,old_price,new_price,pct_change,listing_url
new_listing,Banana Island,4,"email you when a new listing matches Flats for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 8 photos",,4500000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3520608-4-bedroom-penthouse
new_listing,Banana Island,,"Land measuring 852sqm strategically located off 3rd Avenue, Banana Island, Ikoyi. Land Size: 852 sqm Title: Federal Certificate of Occupancy Topography: 100% Dry, Table Land Price:",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3687367-fantastic-waterfront-plot-852-square-metres
new_listing,Banana Island,,"Premium ₦7,000,000,000 Residential land for sale Residential Land at Shoreline Estate *prime sale*@ Shoreline Estate (Water FRONT) Size: 1,200.799SQM Price: # 7 Bill Title: Lasg co",,7000000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3686733-residential-land-at-shoreline-estate
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3423115-waterfront-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3682513-prime-waterfront-residential-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3681979-1300-sqm-residential-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3647867-2-prime-plots-of-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3647864-2-600sqm-residential-waterfront-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3676631-land
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3676685-residential-land
price_change,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",7000000000,5000000,-99.9,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3390076-waterfront-1200sqm-land
